date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,code_postal,nom_commune,code_departement,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2022-01-17,Vente,235000,147,,BD DE CHAMPIGNY,94210,Saint-Maur-des-Fossés,94,1,52.88,24,,,,,,,,2,3,Dépendance,,0,,,,,,2.509356,48.809366
2022-01-18,Vente,335000,35,,AV MAHIEU,94100,Saint-Maur-des-Fossés,94,7,64.41,8,,,,,,,,2,2,Appartement,63,4,,,,,,2.4771,48.810576
2022-01-18,Vente,335000,35,,AV MAHIEU,94100,Saint-Maur-des-Fossés,94,7,64.41,8,,,,,,,,2,3,Dépendance,,0,,,,,,2.4771,48.810576
2022-01-17,Vente,361000,7,,RUE DELERUE,94100,Saint-Maur-des-Fossés,94,46,,67,62.17,,,,,,,2,3,Dépendance,,0,,,,,,2.485006,48.796158
2022-01-17,Vente,361000,7,,RUE DELERUE,94100,Saint-Maur-des-Fossés,94,94,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.485006,48.796158
2022-01-17,Vente,361000,7,,RUE DELERUE,94100,Saint-Maur-des-Fossés,94,46,,67,62.17,,,,,,,2,2,Appartement,72,3,,,,,,2.485006,48.796158
2022-01-17,Vente,292000,204,,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,1008,,8,68.16,,,,,,,2,3,Dépendance,,0,,,,,,2.500577,48.797221
2022-01-17,Vente,292000,204,,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,166,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.500577,48.797221
2022-01-17,Vente,292000,204,,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,1008,,8,68.16,,,,,,,2,2,Appartement,68,4,,,,,,2.500577,48.797221
2022-01-21,Vente,253750,53,,AV DU BAC,94210,Saint-Maur-des-Fossés,94,19,40.19,35,,36,,37,,,,4,3,Dépendance,,0,,,,,,2.509284,48.795885
2022-01-21,Vente,253750,53,,AV DU BAC,94210,Saint-Maur-des-Fossés,94,19,40.19,35,,36,,37,,,,4,1,Maison,41,3,,,,,,2.509284,48.795885
2022-01-21,Vente,260000,61,,BD DE BELLECHASSE,94100,Saint-Maur-des-Fossés,94,5,46.29,,,,,,,,,1,3,Dépendance,,0,,,,,,2.489593,48.793871
