id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2022-1591393,2022-10-20,1,Vente,385000.00,185,,BD DE CRETEIL,1680,94100,94068,Saint-Maur-des-Fossés,94,,,94068000BU0061,,,66,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.5005980,48.7981970,000BU
2022-1591393,2022-10-20,1,Vente,385000.00,185,,BD DE CRETEIL,1680,94100,94068,Saint-Maur-des-Fossés,94,,,94068000BU0061,,,120,,36,,,,,,,,2,2,Appartement,79.00,4,,,,,,2.5005980,48.7981970,000BU
2022-1591402,2022-10-11,1,Vente,328000.00,78,B,AV MARINVILLE,6190,94100,94068,Saint-Maur-des-Fossés,94,,,940680000P0001,,,17,,7,,,,,,,,2,3,Dépendance,,0,,,,,,2.4795200,48.8074000,0000P
2022-1591402,2022-10-11,1,Vente,328000.00,78,B,AV MARINVILLE,6190,94100,94068,Saint-Maur-des-Fossés,94,,,940680000P0001,,,17,,7,,,,,,,,2,2,Appartement,68.00,3,,,,,,2.4795200,48.8074000,0000P
2022-1591438,2022-10-07,1,Vente,699000.00,32,,AV EMILE ZOLA,3150,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CP0200,,,118,,208,,,,,,,,2,2,Appartement,106.00,5,,,,,,2.4837370,48.8018970,000CP
2022-1591438,2022-10-07,1,Vente,699000.00,32,,AV EMILE ZOLA,3150,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CP0200,,,118,,208,,,,,,,,2,3,Dépendance,,0,,,,,,2.4837370,48.8018970,000CP
2022-1591438,2022-10-07,1,Vente,699000.00,32,,AV EMILE ZOLA,3150,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CP0200,,,150,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4837370,48.8018970,000CP
2022-1591458,2022-10-20,1,Vente,20000.00,71,,BD DE CRETEIL,1680,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CM0045,,,68,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4825860,48.7984980,000CM
2022-1591471,2022-10-11,1,Vente,810000.00,25,,RUE DU DOCTEUR ROUX,2585,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DY0141,,,,,,,,,,,,,0,1,Maison,120.00,5,S,sols,,,460.00,2.4915460,48.7919620,000DY
2022-1591654,2022-10-24,1,Vente,16000.00,14,,PL DE LA LOUVIERE,5269,94100,94068,Saint-Maur-des-Fossés,94,,,940680000Y0144,,,592,,,,,,,,,,1,3,Dépendance,,0,,,,,,,,0000Y
